epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,2103.66,1.63348,1.80087,1.73111,0.6311,0.53099,0.5805,0.27376,1.66361,1.66614,1.73111,0.000363239,0.000363239,0.000363239
81,2128.64,1.6196,1.77038,1.73093,0.55152,0.54412,0.57803,0.26912,1.65792,1.6498,1.72557,0.000346736,0.000346736,0.000346736
82,2154.05,1.61254,1.78386,1.7053,0.59944,0.51688,0.55476,0.2624,1.64218,1.65997,1.71745,0.000330233,0.000330233,0.000330233
83,2180.29,1.61712,1.79064,1.72238,0.64986,0.56609,0.56696,0.27574,1.6121,1.63784,1.70418,0.000313729,0.000313729,0.000313729
84,2206.36,1.59805,1.76715,1.70547,0.60526,0.56312,0.56918,0.29219,1.59913,1.58391,1.69537,0.000297226,0.000297226,0.000297226
85,2232.78,1.60761,1.75033,1.69491,0.58031,0.57061,0.58779,0.29627,1.60235,1.58795,1.68779,0.000280723,0.000280723,0.000280723
86,2258.84,1.60341,1.75076,1.70203,0.6691,0.55495,0.61056,0.30059,1.57347,1.59145,1.67151,0.00026422,0.00026422,0.00026422
87,2284.86,1.57788,1.72518,1.69433,0.56594,0.54932,0.57781,0.28946,1.59239,1.54311,1.68858,0.000247716,0.000247716,0.000247716
88,2310.66,1.61274,1.73808,1.70283,0.6189,0.53792,0.5926,0.29042,1.59578,1.57224,1.68108,0.000231213,0.000231213,0.000231213
89,2335.81,1.5926,1.74608,1.68639,0.66265,0.52799,0.61878,0.30522,1.59857,1.5851,1.68763,0.00021471,0.00021471,0.00021471
90,2361.52,1.574,1.71568,1.68971,0.60689,0.57095,0.61877,0.30568,1.59696,1.55614,1.67268,0.000198206,0.000198206,0.000198206
91,2388.38,1.64501,1.70432,1.73934,0.58771,0.59868,0.60818,0.28564,1.61215,1.58145,1.67705,0.000181703,0.000181703,0.000181703
92,2413.92,1.6011,1.61432,1.6952,0.54083,0.61805,0.60667,0.29827,1.57448,1.5305,1.66472,0.0001652,0.0001652,0.0001652
93,2439.24,1.58223,1.58185,1.69343,0.59085,0.63914,0.6256,0.325,1.56692,1.47402,1.66214,0.000148696,0.000148696,0.000148696
94,2464.76,1.57017,1.56231,1.67599,0.60107,0.58284,0.6255,0.32479,1.55813,1.47321,1.64458,0.000132193,0.000132193,0.000132193
95,2489.81,1.54244,1.53577,1.65775,0.6814,0.58223,0.63728,0.33127,1.55202,1.46427,1.63773,0.00011569,0.00011569,0.00011569
96,2514.12,1.53093,1.52722,1.64356,0.65786,0.65373,0.64937,0.33844,1.54261,1.4435,1.63743,9.91865e-05,9.91865e-05,9.91865e-05
97,2539.23,1.54655,1.50869,1.66148,0.65196,0.60839,0.65106,0.33044,1.54033,1.45833,1.63999,8.26832e-05,8.26832e-05,8.26832e-05
98,2564.44,1.53247,1.505,1.65171,0.63727,0.65569,0.64588,0.33618,1.53852,1.43914,1.63448,6.61799e-05,6.61799e-05,6.61799e-05
99,2589.61,1.54836,1.51027,1.66483,0.62895,0.6912,0.65012,0.34332,1.53707,1.4361,1.62333,4.96766e-05,4.96766e-05,4.96766e-05
100,2614.59,1.51938,1.49659,1.64211,0.63615,0.65141,0.65448,0.3379,1.53283,1.42366,1.62633,3.31733e-05,3.31733e-05,3.31733e-05
